"TRANS-1,2-DIMETHYLCYCLOHEXANE",0
"TRANS-1,2-DIMETHYLCYCLOPENTANE",362
"TRANS-1,3-DIMETHYLCYCLOHEXANE",0
"TRANS-1,4-DIMETHYLCYCLOHEXANE",0
TRANS-2-BUTENE,238
TRANS-2-HEXENE,351
TRANS-2-OCTENE,0
TRANS-2-PENTENE,300
TRANS-3-HEXENE,350
TRANS-DECALIN,0
TRIBUTYLAMINE,0
TRICHLOROETHYLENE,256
TRICHLOROFLUOROMETHANE,248
TRIETHYLAMINE,390
TRIFLUOROACETIC ACID,0
TRIFLUOROBROMOMETHANE,200
TRIMETHYL AMINE,254
VALERALDEHYDE,333
VINYL ACETATE,265
VINYL CHLORIDE,169
VINYL ETHYL ETHER,260
VINYL FLUORIDE,144
VINYL FORMATE,210
VINYL METHYL ETHER,205
VINYLACETYLENE,202
WATER,56
XENON,118
